,Title,Cast and crew,director,cast_crew,genres,id
12,Sophie and the Rising Sun,"Maggie Greenwald (director/screenplay); Julianne Nicholson, Margo Martindale, Lorraine Toussaint, Takashi Yamaguchi, Diane Ladd, Karen Wheeling Reynolds",Maggie Greenwald ," Julianne Nicholson, Margo Martindale, Lorraine Toussaint, Takashi Yamaguchi, Diane Ladd, Karen Wheeling Reynolds",Drama,371743
13,A Dog's Purpose,"Lasse Hallström (director); W. Bruce Cameron, Cathryn Michon, Audrey Wells, Maya Forbes, Wally Wolodarsky (screenplay); Britt Robertson, Dennis Quaid, Josh Gad, KJ Apa, John Ortiz",Lasse Hallström ," Britt Robertson, Dennis Quaid, Josh Gad, KJ Apa, John Ortiz",Adventure Comedy Fantasy Family Drama,381289
14,Resident Evil: The Final Chapter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Ali Larter, Shawn Roberts, Ruby Rose, Eoin Macken, Lee Joon-gi, William Levy, Iain Glen, Fraser James, Rola",Paul W. S. Anderson ," Milla Jovovich, Ali Larter, Shawn Roberts, Ruby Rose, Eoin Macken, Lee Joon-gi, William Levy, Iain Glen, Fraser James, Rola",Action Horror Science Fiction,173897
15,Lost in Florence,"Evan Oppenheimer (director/screenplay); Brett Dalton, Stana Katic, Alessandra Mastronardi, Alessandro Preziosi, Emily Atack, Rob Aramayo, Marco Bonini",Evan Oppenheimer ," Brett Dalton, Stana Katic, Alessandra Mastronardi, Alessandro Preziosi, Emily Atack, Rob Aramayo, Marco Bonini",Adventure Drama Romance,431244
16,I Am Michael,"Justin Kelly (director/screenplay); Stacey Miller (screenplay); James Franco, Zachary Quinto, Emma Roberts, Charlie Carver",Justin Kelly ," James Franco, Zachary Quinto, Emma Roberts, Charlie Carver",Drama,291869
17,iBoy,"Adam Randall (director), Joe Barton, Mark Denton, Jonny Stockwood (screenplay); Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear",Adam Randall ," Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear",Action Science Fiction,414190
18,Rings,"F. Javier Gutiérrez (director); David Loucka, Jacob Estes (screenplay); Matilda Lutz, Alex Roe, Johnny Galecki, Aimee Teegarden, Bonnie Morgan, Vincent D'Onofrio",F. Javier Gutiérrez ," Matilda Lutz, Alex Roe, Johnny Galecki, Aimee Teegarden, Bonnie Morgan, Vincent D'Onofrio",Horror,14564
19,The Space Between Us,"Peter Chelsom (director); Allan Loeb (screenplay); Asa Butterfield, Britt Robertson, Gary Oldman, Carla Gugino",Peter Chelsom ," Asa Butterfield, Britt Robertson, Gary Oldman, Carla Gugino",Romance Adventure Science Fiction Drama,365942
20,Youth in Oregon,"Joel David Moore (director); Andrew Eisen (screenplay); Frank Langella, Billy Crudup, Christina Applegate, Nicola Peltz, Josh Lucas, Mary Kay Place",Joel David Moore ," Frank Langella, Billy Crudup, Christina Applegate, Nicola Peltz, Josh Lucas, Mary Kay Place",Comedy Drama,338387
21,I Am Not Your Negro,Raoul Peck (director/screenplay); Samuel L. Jackson,Raoul Peck , Samuel L. Jackson,Documentary,411019
22,Growing Up Smith,"Frank Lotito (director); Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton, Roni Akurati",Frank Lotito ," Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton, Roni Akurati",Comedy Drama,426469
23,The Lego Batman Movie,"Chris McKay (director); Seth Grahame-Smith, Jared Stern (screenplay); Will Arnett, Zach Galifianakis, Michael Cera, Rosario Dawson, Ralph Fiennes",Chris McKay ," Will Arnett, Zach Galifianakis, Michael Cera, Rosario Dawson, Ralph Fiennes",Animation Action Comedy Family,324849
24,Fifty Shades Darker,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Kim Basinger, Luke Grimes, Eloise Mumford, Max Martini, Eric Johnson, Bella Heathcote, Marcia Gay Harden, Rita Ora",James Foley ," Dakota Johnson, Jamie Dornan, Kim Basinger, Luke Grimes, Eloise Mumford, Max Martini, Eric Johnson, Bella Heathcote, Marcia Gay Harden, Rita Ora",Drama Romance,341174
25,John Wick: Chapter 2,"Chad Stahelski (director); Derek Kolstad (screenplay); Keanu Reeves, Common, Bridget Moynahan, Ian McShane, John Leguizamo, Ruby Rose, Laurence Fishburne",Chad Stahelski ," Keanu Reeves, Common, Bridget Moynahan, Ian McShane, John Leguizamo, Ruby Rose, Laurence Fishburne",Action Thriller Crime,324552
26,Bornless Ones,"Alexander Babaev (director/screenplay); Michael Johnston, Margaret Judson, Bobby T, Lana Titova, Victoria Clare, Devin Goodsell, Gwen Holloway, Mark Furze, Greg Travis, Nick Saso, Rob Tepper, David Banks",Alexander Babaev ," Michael Johnston, Margaret Judson, Bobby T, Lana Titova, Victoria Clare, Devin Goodsell, Gwen Holloway, Mark Furze, Greg Travis, Nick Saso, Rob Tepper, David Banks",Horror Mystery Thriller,421601
27,The Great Wall,"Zhang Yimou (director); Tony Gilroy, Chris Brancato, Doug Miro (screenplay); Matt Damon, Jing Tian, Pedro Pascal, Willem Dafoe, Lu Han, Andy Lau",Zhang Yimou ," Matt Damon, Jing Tian, Pedro Pascal, Willem Dafoe, Lu Han, Andy Lau",Action Adventure Fantasy,311324
28,A Cure for Wellness,"Gore Verbinski (director); Justin Haythe (screenplay); Dane DeHaan, Mia Goth, Jason Isaacs",Gore Verbinski ," Dane DeHaan, Mia Goth, Jason Isaacs",Horror Mystery Science Fiction Thriller,340837
29,Fist Fight,"Richie Keen (director); Van Robichaux, Evan Susser (screenplay); Ice Cube, Charlie Day, Christina Hendricks, Dennis Haysbert, Tracy Morgan, Jillian Bell, Dean Norris",Richie Keen ," Ice Cube, Charlie Day, Christina Hendricks, Dennis Haysbert, Tracy Morgan, Jillian Bell, Dean Norris",Comedy,345922
30,American Fable,"Anne Hamilton (director/screenplay); Peyton Kennedy, Richard Schiff, Kip Pardue, Marci Miller, Gavin MacIntosh, Zuleikha Robinson",Anne Hamilton ," Peyton Kennedy, Richard Schiff, Kip Pardue, Marci Miller, Gavin MacIntosh, Zuleikha Robinson",Drama Thriller,381064
31,Lovesong,"So Yong Kim (director); Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Marshall Chapman, Ryan Eggold, Rosanna Arquette",So Yong Kim ," Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Marshall Chapman, Ryan Eggold, Rosanna Arquette",Drama Romance,371447
32,Get Out,"Jordan Peele (director/screenplay); Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Stephen Root, Lakeith Stanfield",Jordan Peele ," Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Stephen Root, Lakeith Stanfield",Mystery Thriller Horror,419430
33,Rock Dog,"Ash Brannon (director/screenplay); Kurt Voelker (screenplay); Luke Wilson, Eddie Izzard, J. K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon, Sam Elliott",Ash Brannon ," Luke Wilson, Eddie Izzard, J. K. Simmons, Lewis Black, Kenan Thompson, Mae Whitman, Jorge Garcia, Matt Dillon, Sam Elliott",Adventure Animation Comedy Family Music,333667
34,Collide,"Eran Creevy (director/screenplay); F. Scott Frazier (screenplay); Nicholas Hoult, Felicity Jones, Marwan Kenzari, Anthony Hopkins, Ben Kingsley",Eran Creevy ," Nicholas Hoult, Felicity Jones, Marwan Kenzari, Anthony Hopkins, Ben Kingsley",Thriller Action,195590
35,The Girl with All the Gifts,"Colm McCarthy (director), M. R. Carey (screenplay); Gemma Arterton, Glenn Close, Paddy Considine, Sennia Nanua",Colm McCarthy ," Gemma Arterton, Glenn Close, Paddy Considine, Sennia Nanua",Drama Horror Thriller Science Fiction,375366
36,I Don't Feel at Home in This World Anymore,"Macon Blair (director/screenplay); Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye",Macon Blair ," Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye",Crime Comedy Drama Thriller,425591
37,Contemporary Color,"Turner Ross, Bill Ross IV (directors)","Turner Ross, Bill Ross IV ",Turner Ross,Documentary Music,390295
38,Logan,"James Mangold (director/screenplay); Scott Frank, Michael Green (screenplay); Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant, Richard E. Grant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, Dafne Keen",James Mangold ," Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant, Richard E. Grant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, Dafne Keen",Action Drama Science Fiction,263115
39,The Shack,"Stuart Hazeldine (director); John Fusco, Andrew Lanham, Destin Cretton (screenplay); Sam Worthington, Avraham Aviv Alush, Radha Mitchell, Alice Braga, Octavia Spencer, Tim McGraw, Graham Greene, Sumire Matsubara",Stuart Hazeldine ," Sam Worthington, Avraham Aviv Alush, Radha Mitchell, Alice Braga, Octavia Spencer, Tim McGraw, Graham Greene, Sumire Matsubara",Drama Fantasy,345938
40,Before I Fall,"Ry Russo-Young (director); Maria Maggenti, Gina Prince-Bythewood (screenplay); Zoey Deutch, Halston Sage, Logan Miller, Kian Lawley, Elena Kampouris, Cynthy Wu, Medalion Rahimi, Diego Boneta, Jennifer Beals",Ry Russo-Young ," Zoey Deutch, Halston Sage, Logan Miller, Kian Lawley, Elena Kampouris, Cynthy Wu, Medalion Rahimi, Diego Boneta, Jennifer Beals",Drama Mystery Thriller Fantasy,397837
41,Table 19,"Jeffrey Blitz (director); Jay Duplass, Mark Duplass (screenplay); Anna Kendrick, Amanda Crew, Stephen Merchant, Lisa Kudrow, Wyatt Russell, Craig Robinson, Tony Revolori, June Squibb",Jeffrey Blitz ," Anna Kendrick, Amanda Crew, Stephen Merchant, Lisa Kudrow, Wyatt Russell, Craig Robinson, Tony Revolori, June Squibb",Comedy Drama,353569
42,The Last Word,"Mark Pellington (director); Stuart Ross Fink (screenplay); Shirley MacLaine, Amanda Seyfried",Mark Pellington ," Shirley MacLaine, Amanda Seyfried",Comedy Drama,396810
43,Catfight,"Onur Tukel (director/screenplay); Alicia Silverstone, Anne Heche, Sandra Oh, Dylan Baker, Amy Hall, Craig Bierko",Onur Tukel ," Alicia Silverstone, Anne Heche, Sandra Oh, Dylan Baker, Amy Hall, Craig Bierko",Comedy Drama,408272
44,Donald Cried,"Kristopher Avedisian (director/screenplay); Kristopher Avedisian, Jesse Wakeman, Louisa Krause, Ted Arcidi",Kristopher Avedisian ," Kristopher Avedisian, Jesse Wakeman, Louisa Krause, Ted Arcidi",Comedy Drama,381009
45,Kong: Skull Island,"Jordan Vogt-Roberts (director); Max Borenstein, Dan Gilroy, Derek Connolly (screenplay); Tom Hiddleston, Brie Larson, Samuel L. Jackson, John Goodman, John C. Reilly, Toby Kebbell, Jing Tian, Jason Mitchell, Corey Hawkins, Thomas Mann, John Ortiz, Shea Whigham, Terry Notary",Jordan Vogt-Roberts ," Tom Hiddleston, Brie Larson, Samuel L. Jackson, John Goodman, John C. Reilly, Toby Kebbell, Jing Tian, Jason Mitchell, Corey Hawkins, Thomas Mann, John Ortiz, Shea Whigham, Terry Notary",Action Adventure Fantasy,293167
46,Burning Sands,"Gerard McMurray (director/screenplay); Christine Berg (screenplay); Trevor Jackson, Alfre Woodard, Steve Harris, Trevante Rhodes, Serayah",Gerard McMurray ," Trevor Jackson, Alfre Woodard, Steve Harris, Trevante Rhodes, Serayah",Drama,426265
47,Beauty and the Beast,"Bill Condon (director/screenplay); Evan Spiliotopoulos, Stephen Chbosky (screenplay); Emma Watson, Dan Stevens, Luke Evans, Ewan McGregor, Ian McKellen, Emma Thompson, Kevin Kline, Josh Gad, Gugu Mbatha-Raw, Audra McDonald, Stanley Tucci",Bill Condon ," Emma Watson, Dan Stevens, Luke Evans, Ewan McGregor, Ian McKellen, Emma Thompson, Kevin Kline, Josh Gad, Gugu Mbatha-Raw, Audra McDonald, Stanley Tucci",Romance Family Animation Fantasy,10020
48,The Belko Experiment,"Greg McLean (director); James Gunn (screenplay); John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley, Melonie Diaz, Josh Brener, Michael Rooker",Greg McLean ," John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley, Melonie Diaz, Josh Brener, Michael Rooker",Thriller Horror Action,341006
49,Song to Song,"Terrence Malick (director/screenplay); Ryan Gosling, Michael Fassbender, Rooney Mara, Natalie Portman",Terrence Malick ," Ryan Gosling, Michael Fassbender, Rooney Mara, Natalie Portman",Drama Romance,330947
50,Atomica,"Dagen Merrill (director); Kevin Burke, Fred Fernandez-Armesto, Adam Gyngell (screenplay); Dominic Monaghan, Tom Sizemore, Sarah Habel",Dagen Merrill ," Dominic Monaghan, Tom Sizemore, Sarah Habel",Science Fiction Thriller,188924
51,All Nighter,"Gavin Wiesen (director); Seth W. Owen (screenplay); J. K. Simmons, Emile Hirsch, Analeigh Lipton, Taran Killam, Kristen Schaal",Gavin Wiesen ," J. K. Simmons, Emile Hirsch, Analeigh Lipton, Taran Killam, Kristen Schaal",Comedy,352501
52,The Devil's Candy,"Sean Byrne (director/screenplay); Ethan Embry, Shiri Appleby, Kiara Glasco, Pruitt Taylor Vince, Craig Nigh, Marco Perella",Sean Byrne ," Ethan Embry, Shiri Appleby, Kiara Glasco, Pruitt Taylor Vince, Craig Nigh, Marco Perella",Drama Horror Thriller,354216
53,Power Rangers,"Dean Israelite (director); John Gatins (screenplay); Dacre Montgomery, Naomi Scott, RJ Cyler, Becky G, Ludi Lin, Bill Hader, Bryan Cranston, Elizabeth Banks",Dean Israelite ," Dacre Montgomery, Naomi Scott, RJ Cyler, Becky G, Ludi Lin, Bill Hader, Bryan Cranston, Elizabeth Banks",Science Fiction Action Adventure,305470
54,Life,"Daniel Espinosa (director); Paul Wernick, Rhett Reese (screenplay); Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds",Daniel Espinosa ," Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds",Adventure Animation Comedy Family,9487
55,CHiPs,"Dax Shepard (director/screenplay); Dax Shepard, Michael Peña, Vincent D'Onofrio, Adam Brody, Rosa Salazar",Dax Shepard ," Dax Shepard, Michael Peña, Vincent D'Onofrio, Adam Brody, Rosa Salazar",Action Comedy Crime,417644
56,Wilson,"Craig Johnson (director); Daniel Clowes (screenplay); Woody Harrelson, Laura Dern, Isabella Amara, Judy Greer, Cheryl Hines",Craig Johnson ," Woody Harrelson, Laura Dern, Isabella Amara, Judy Greer, Cheryl Hines",Comedy Drama,346681
57,Victor,"Brandon Dickerson (director/screenplay); Thomas Ward (screenplay); Patrick Davis, Nick Eversman, Cortney Palm, Rick Gonzalez, Matt Marquez, Lisa Vidal, Josh Pence",Brandon Dickerson ," Patrick Davis, Nick Eversman, Cortney Palm, Rick Gonzalez, Matt Marquez, Lisa Vidal, Josh Pence",Drama Science Fiction Thriller,228066
58,Car Dogs,"Adam Collis (director); Mark Edward King (screenplay); Patrick J. Adams, George Lopez, Nia Vardalos, Octavia Spencer, Josh Hopkins, Dash Mihok, Chris Mulkey, Alessandra Torresani, Cory Hardrict, Stefanie Butler",Adam Collis ," Patrick J. Adams, George Lopez, Nia Vardalos, Octavia Spencer, Josh Hopkins, Dash Mihok, Chris Mulkey, Alessandra Torresani, Cory Hardrict, Stefanie Butler",Drama Comedy,459427
59,Walk of Fame,"Jesse Thomas (director/screenplay); Scott Eastwood, Malcolm McDowell, Chris Kattan, Laura Ashley Samuels, Jamie Kennedy, Cory Hardrict",Jesse Thomas ," Scott Eastwood, Malcolm McDowell, Chris Kattan, Laura Ashley Samuels, Jamie Kennedy, Cory Hardrict",Comedy,425124
60,The Marine 5: Battleground,"James Nunn (director); Ed McHenry, Rory McHenry (screenplay); Mike ""The Miz"" Mizanin, Maryse Ouellet Mizanin, Curtis Axel, Heath Slater, Bo Dallas, Naomi",James Nunn ," Mike ""The Miz"" Mizanin, Maryse Ouellet Mizanin, Curtis Axel, Heath Slater, Bo Dallas, Naomi",Action,445993
61,Ghost in the Shell,"Rupert Sanders (director); Jamie Moss, William Wheeler, Ehren Kruger (screenplay); Scarlett Johansson, Michael Pitt, Pilou Asbæk, Chin Han, Juliette Binoche",Rupert Sanders ," Scarlett Johansson, Michael Pitt, Pilou Asbæk, Chin Han, Juliette Binoche",Science Fiction Action,315837
62,The Boss Baby,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Tobey Maguire, Miles Bakshi",Tom McGrath ," Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow, Tobey Maguire, Miles Bakshi",Animation Comedy Adventure Family,459151
63,The Zookeeper's Wife,"Niki Caro (director); Angela Workman (screenplay); Jessica Chastain, Daniel Brühl, Johan Heldenbergh, Michael McElhatton",Niki Caro ," Jessica Chastain, Daniel Brühl, Johan Heldenbergh, Michael McElhatton",Drama History War,289222
64,The Blackcoat's Daughter,"Oz Perkins (director/screenplay); Emma Roberts, Kiernan Shipka, Lucy Boynton, Lauren Holly, James Remar",Oz Perkins ," Emma Roberts, Kiernan Shipka, Lucy Boynton, Lauren Holly, James Remar",Horror Thriller,334536
65,The Discovery,"Charlie McDowell (director/screenplay); Justin Lader (screenplay); Jason Segel, Rooney Mara, Robert Redford, Jesse Plemons, Riley Keough",Charlie McDowell ," Jason Segel, Rooney Mara, Robert Redford, Jesse Plemons, Riley Keough",Drama Romance Science Fiction Thriller Mystery,376134
66,Carrie Pilby,"Susan Johnson (director); Bel Powley, Vanessa Bayer, Colin O'Donoghue, William Moseley, Jason Ritter, Gabriel Byrne, Nathan Lane",Susan Johnson ," Bel Powley, Vanessa Bayer, Colin O'Donoghue, William Moseley, Jason Ritter, Gabriel Byrne, Nathan Lane",Comedy Drama,317560
67,The Case for Christ,"Jon Gunn (director); Brian Bird (screenplay); Mike Vogel, Erika Christensen, Frankie Faison, Robert Forster, Faye Dunaway",Jon Gunn ," Mike Vogel, Erika Christensen, Frankie Faison, Robert Forster, Faye Dunaway",Drama,424998
68,Smurfs: The Lost Village,"Kelly Asbury (director); Stacey Harmon, Pamela Ribon (screenplay); Demi Lovato, Mandy Patinkin, Jack McBrayer, Danny Pudi, Joe Manganiello, Rainn Wilson, Ariel Winter, Julia Roberts, Michelle Rodriguez, Ellie Kemper, Meghan Trainor, Jake Johnson",Kelly Asbury ," Demi Lovato, Mandy Patinkin, Jack McBrayer, Danny Pudi, Joe Manganiello, Rainn Wilson, Ariel Winter, Julia Roberts, Michelle Rodriguez, Ellie Kemper, Meghan Trainor, Jake Johnson",Family Adventure Animation Comedy,137116
69,Going in Style,"Zach Braff (director); Theodore Melfi (screenplay); Morgan Freeman, Michael Caine, Alan Arkin, Joey King, Matt Dillon, Ann-Margret, Christopher Lloyd",Zach Braff ," Morgan Freeman, Michael Caine, Alan Arkin, Joey King, Matt Dillon, Ann-Margret, Christopher Lloyd",Crime Comedy,353070
70,Colossal,"Nacho Vigalondo (director/screenplay); Anne Hathaway, Jason Sudeikis, Dan Stevens, Austin Stowell, Tim Blake Nelson",Nacho Vigalondo ," Anne Hathaway, Jason Sudeikis, Dan Stevens, Austin Stowell, Tim Blake Nelson",Drama Fantasy Science Fiction,339967
71,Gifted,"Marc Webb (director); Tom Flynn (screenplay); Chris Evans, Mckenna Grace, Jenny Slate, Lindsay Duncan, Octavia Spencer",Marc Webb ," Chris Evans, Mckenna Grace, Jenny Slate, Lindsay Duncan, Octavia Spencer",Drama Comedy,400928
72,Aftermath,"Elliott Lester (director); Javier Gullón (screenplay); Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Martin Donovan",Elliott Lester ," Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Martin Donovan",Horror Crime Drama Thriller,763149
73,The Fate of the Furious,"F. Gary Gray (director); Chris Morgan (screenplay); Vin Diesel, Dwayne Johnson, Michelle Rodriguez, Kurt Russell, Charlize Theron, Jason Statham, Helen Mirren, Tyrese Gibson, Chris Bridges, Elsa Pataky, Nathalie Emmanuel, Scott Eastwood",F. Gary Gray ," Vin Diesel, Dwayne Johnson, Michelle Rodriguez, Kurt Russell, Charlize Theron, Jason Statham, Helen Mirren, Tyrese Gibson, Chris Bridges, Elsa Pataky, Nathalie Emmanuel, Scott Eastwood",Action Crime Thriller,337339
74,Spark,"Aaron Woodley (director); Doug Hadders, Adam Rotstein, Aaron Woodley (screenplay); Jace Norman, Jessica Biel, Susan Sarandon, Patrick Stewart, Hilary Swank",Aaron Woodley ," Jace Norman, Jessica Biel, Susan Sarandon, Patrick Stewart, Hilary Swank",Adventure Animation Comedy Family Science Fiction,322487
75,The Lost City of Z,"James Gray (director/screenplay); Charlie Hunnam, Robert Pattinson, Tom Holland, Sienna Miller, Angus Macfadyen, Ian McDiarmid, Franco Nero",James Gray ," Charlie Hunnam, Robert Pattinson, Tom Holland, Sienna Miller, Angus Macfadyen, Ian McDiarmid, Franco Nero",Adventure Drama History,314095
76,My Entire High School Sinking Into the Sea,"Dash Shaw (director/screenplay); Jason Schwartzman, Reggie Watts, Lena Dunham, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, John Cameron Mitchell",Dash Shaw ," Jason Schwartzman, Reggie Watts, Lena Dunham, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, John Cameron Mitchell",Animation Comedy Drama,410661
77,The Outcasts,"Peter Hutchings (director); Dominique Ferrari, Suzanne Wrubel (screenplay); Victoria Justice, Eden Sher, Ashley Rickards, Claudia Lee, Katie Chang, Peyton List, Jazmyn C. Richardson, Avan Jogia",Peter Hutchings ," Victoria Justice, Eden Sher, Ashley Rickards, Claudia Lee, Katie Chang, Peyton List, Jazmyn C. Richardson, Avan Jogia",Comedy,306943
78,Born in China,"Lu Chuan (director); David Fowler, Brian Leith, Phil Chapman, Lu Chuan (screenplay); John Krasinski (narrator)",Lu Chuan , John Krasinski (narrator),Documentary,355277
79,Unforgettable,"Denise Di Novi (director); David Leslie Johnson, Christina Hodson (screenplay); Katherine Heigl, Rosario Dawson, Geoff Stults",Denise Di Novi ," Katherine Heigl, Rosario Dawson, Geoff Stults",Drama Thriller,418437
80,The Promise,"Terry George (director/screenplay); Robin Swicord (screenplay); Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho, Shohreh Aghdashloo, Marwan Kenzari, Angela Sarafyan, James Cromwell",Terry George ," Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho, Shohreh Aghdashloo, Marwan Kenzari, Angela Sarafyan, James Cromwell",History Romance Drama,354859
81,The Circle,"James Ponsoldt (director/screenplay); Dave Eggers (screenplay) Tom Hanks, Emma Watson, John Boyega, Karen Gillan, Ellar Coltrane, Patton Oswalt, Glenne Headly, Bill Paxton",James Ponsoldt , Emma Watson  John Boyega  Karen Gillan  Ellar Coltrane  Patton Oswalt  Glenne Headly  Bill Paxton,Drama Thriller Science Fiction,339988
82,How to Be a Latin Lover,"Ken Marino (director); Chris Spain, Jon Zack (screenplay); Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe, Kristen Bell, Raquel Welch, Rob Riggle, Renée Taylor, Rob Huebel, Michaela Watkins, Linda Lavin",Ken Marino ," Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe, Kristen Bell, Raquel Welch, Rob Riggle, Renée Taylor, Rob Huebel, Michaela Watkins, Linda Lavin",Comedy,425134
